id,circonscription_id,parti,nom,score,pourcentage,elu,source_page
1,1,INDEPENDANT,KOTO EHOU SOPHIE,547,4.0,False,1
2,1,RHDP,KOFFI AKA CHARLES,9078,66.35,True,1
3,1,INDEPENDANT,YEPIE KOUASSI THEODORE,58,0.42,False,1
4,1,INDEPENDANT,TCHIMOU GNAMON BERTRAND,1991,14.55,False,1
5,1,INDEPENDANT,BOKA BOKA MAURICE,674,4.93,False,1
6,1,ADCI,EDI DOFFOU PAUL,331,2.42,False,1
7,1,FPI,N'GUESSAN KOTCHI REMI,474,3.46,False,1
8,1,MGC,NANDO YAVO SERGE,453,3.31,False,1
9,1,ADCI,OCHOU WROHOUM MARIE-PASCALE,296,2.37,False,1
10,2,RHDP,DIMBA N'GOU PIERRE,10675,85.37,True,1
11,2,INDEPENDANT,OCHO KOKOU BERTRAND,20,0.16,False,1
12,2,INDEPENDANT,TETCHI EHUE ANTOINE,75,0.6,False,1
13,2,INDEPENDANT,NGOU KOKOLA GRACIASSE,30,0.24,False,1
14,2,PDCI-RDA,OHOUNA NTAKPE NICAIS,1327,10.61,False,1
15,3,INDEPENDANT,KOUAME YAO FREDERIC,439,8.61,False,1
16,3,INDEPENDANT,DOUMBIA HAMED CHEICK YVANN,1549,30.37,False,1
17,3,INDEPENDANT,KPATA APPIA EDI JORES,863,16.92,False,1
18,3,INDEPENDANT,KIPRE LIPIA MIREILLE,38,0.74,False,1
19,3,INDEPENDANT,ADJA OWO GILLES ROGER,96,1.88,False,1
20,3,RHDP,ALAIN EKISSI,1673,32.8,True,1
21,3,INDEPENDANT,BAMBA IDRISSA,256,5.02,False,1
22,3,PDCI-RDA,EKISSI HUBERSON EVARISTHO ALVARIS,163,3.2,False,1
23,4,INDEPENDANT,TCHIMOU OKOMAN EMMANUEL,1668,22.51,False,1
24,4,INDEPENDANT,OFFO ABOLE SYLVAN,827,11.16,False,1
25,4,INDEPENDANT,NGOU OKAUGNY YANNICK ANICET,110,1.48,False,1
26,4,RHDP,KOUASSI MARIE VIRGINIE,2607,35.19,True,1
27,4,INDEPENDANT,ATIN ERIC ALAIN,355,4.79,False,1
